Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,131
Base Time Seconds,1636143614
Base Time Fractional,.768239080
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.5117683410645,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.9999879598618,Volt DC,1,T,2W,F,F,11/05/2021,20:20:14,.768239080
2,-0.5060750246048,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.9499828219414,Volt DC,1,T,2W,F,F,11/05/2021,20:20:14,.852019680
3,-0.5050988197327,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.8999862670898,Volt DC,1,T,2W,F,F,11/05/2021,20:20:14,.935826480
4,-0.5047852396965,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.8499855995178,Volt DC,1,T,2W,F,F,11/05/2021,20:20:15,.019612880
5,-0.5019190311432,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.7999899983406,Volt DC,1,T,2W,F,F,11/05/2021,20:20:15,.103432160
6,-0.5001184344292,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.7499946951866,Volt DC,1,T,2W,F,F,11/05/2021,20:20:15,.187206300
7,-0.4999626278877,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.6999958157539,Volt DC,1,T,2W,F,F,11/05/2021,20:20:15,.271016240
8,-0.4961883723736,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.6500001549721,Volt DC,1,T,2W,F,F,11/05/2021,20:20:15,.354800460
9,-0.4965273141861,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.6000063419342,Volt DC,1,T,2W,F,F,11/05/2021,20:20:15,.438589780
10,-0.4946570396423,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.5500033497810,Volt DC,1,T,2W,F,F,11/05/2021,20:20:15,.522383360
11,-0.4928155243397,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.5000077486038,Volt DC,1,T,2W,F,F,11/05/2021,20:20:15,.606190580
12,-0.4926031827927,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4500044584274,Volt DC,1,T,2W,F,F,11/05/2021,20:20:15,.689998880
13,-0.4891884028912,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4000073075294,Volt DC,1,T,2W,F,F,11/05/2021,20:20:15,.773798160
14,-0.4895973205566,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3500132262707,Volt DC,1,T,2W,F,F,11/05/2021,20:20:15,.857590820
15,-0.4875126183033,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3000077009201,Volt DC,1,T,2W,F,F,11/05/2021,20:20:15,.941393380
